Filename,LOC,ForLoops,WhileLoops,IfStatements,O0ExecTime,O1ExecTime,O2ExecTime,O3ExecTime,OfastExecTime,BestFlag
program_203.c,19,0,1,2,0.0765249729156494,0.053525686264038,0.0775272846221923,0.0425295829772949,0.0295257568359375,-Ofast
program_204.c,101,0,2,19,0.0725214481353759,0.1224720478057861,0.0605170726776123,0.031517744064331,0.1265265941619873,-O3
program_205.c,31,1,1,4,0.0315139293670654,0.0755183696746826,0.0345168113708496,0.0510094165802001,0.0289976596832275,-Ofast
program_206.c,75,2,3,13,0.0575270652770996,0.0515244007110595,0.03399658203125,0.0705282688140869,0.0759990215301513,-O2
program_207.c,85,1,5,11,0.0273411273956298,0.0505242347717285,0.0550084114074707,0.1570620536804199,0.0530054569244384,-O0
program_208.c,19,0,1,2,0.0475270748138427,0.0410013198852539,0.0770084857940673,0.114520788192749,0.0299994945526123,-Ofast
program_209.c,19,0,1,2,0.0419981479644775,0.0379979610443115,0.1760628223419189,0.0935232639312744,0.049513816833496,-O1
program_210.c,27,2,0,4,0.0545258522033691,0.0530204772949218,0.1315250396728515,0.0895249843597412,0.0330007076263427,-Ofast
program_211.c,75,0,1,15,0.0370020866394043,0.080963134765625,0.0850088596343994,0.0330002307891845,0.0645208358764648,-O3
program_212.c,19,0,1,2,0.183053970336914,0.0729994773864746,0.0905249118804931,0.1730496883392334,0.0249991416931152,-Ofast
program_213.c,17,1,0,2,0.0535240173339843,0.0395269393920898,0.0495281219482421,0.0785319805145263,0.0695288181304931,-O1
program_214.c,19,0,1,2,0.0650010108947753,0.0530035495758056,0.044999361038208,0.0510008335113525,0.0300002098083496,-Ofast
program_215.c,19,0,1,2,0.0309937000274658,0.0410003662109375,0.0495264530181884,0.0725255012512207,0.0330071449279785,-O0
program_216.c,43,0,3,6,0.1285288333892822,0.0755262374877929,0.0314555168151855,0.0380001068115234,0.0685300827026367,-O2
program_217.c,25,3,1,2,0.0745270252227783,0.0715277194976806,0.0525181293487548,0.0842616558074951,0.0740041732788086,-O2
